StrategyID,Parameter1,Parameter2,Parameter3
1,1.01,0.85,3
2,1.01,0.9,3
3,1.01,0.92,3
4,1.01,0.95,3
5,1.01,0.97,3
6,1.02,0.85,4
7,1.02,0.9,4
8,1.02,0.92,4
9,1.02,0.95,4
10,1.02,0.97,4
11,1.03,0.85,5
12,1.03,0.9,5
13,1.03,0.92,5
14,1.03,0.95,5
15,1.03,0.97,5
16,1.04,0.85,6
17,1.04,0.9,6
18,1.04,0.92,6
19,1.04,0.95,6
20,1.04,0.97,6
21,1.05,0.85,7
22,1.05,0.9,7
23,1.05,0.92,7
24,1.05,0.95,7
25,1.05,0.97,7
26,1.06,0.85,8
27,1.06,0.9,8
28,1.06,0.92,8
29,1.06,0.95,8
30,1.06,0.97,8
31,1.07,0.85,9
32,1.07,0.9,9
33,1.07,0.92,9
34,1.07,0.95,9
35,1.07,0.97,9
36,1.08,0.85,10
37,1.08,0.9,10
38,1.08,0.92,10
39,1.08,0.95,10
40,1.08,0.97,10
41,1.09,0.85,2
42,1.09,0.9,2
43,1.09,0.92,2
44,1.09,0.95,2
45,1.09,0.97,2
46,1.1,0.85,1
47,1.1,0.9,1
48,1.1,0.92,1
49,1.1,0.95,1
50,1.1,0.97,1